"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.num_img_obs","env.stack_actions","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.num_img_obs","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grayscale","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScoreAverage","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNormalized","GameScoreStd","Iteration","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"firm-pond-13279","2om8nrpt","firm-pond-13279","finished","-","ankeshanand"," baseline, nature encoder 64/32","2020-05-28T02:46:56.000Z","26166","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","chopper_command","1","84","","0","0","false","chopper_command","1","27000","84","","0","84","0","","0","0","chopper_command","0","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","0","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","123","","0","0","","0","","2000","1","0","standard","1","3","0.5","0","","","","","","","","0.72965825783203","1.4912572955158372","0.5285212979272349","0.18625555130879023","0.4642623656602497","630.3030303030303","1100","600","500","-0.027474907203650673","131.39080841623516","","491.40909090909093","942","450","283","152.9085661901421","0","","","","","","","","","","","","","","","","","","","100000","0.05823123646629974","","","","","","0.27668342509418725","","","","","","0","","0","","","","","",""
"driven-darkness-13278","1jq6qw8v","driven-darkness-13278","finished","-","ankeshanand"," baseline, nature encoder 64/32","2020-05-28T02:46:29.000Z","20987","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","chopper_command","1","84","","0","0","false","chopper_command","1","27000","84","","0","84","0","","0","0","chopper_command","0","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","0","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","420","","0","0","","0","","2000","1","0","standard","1","3","0.5","0","","","","","","","","1.354663594952508","1.6181099610736411","1.342528520538078","0.3110621945075678","0.17530402252462035","629.8969072164948","1300","600","400","-0.02753665806828628","139.33934580513775","","474.2371134020619","2244","388","268","274.2843273518245","0","","","","","","","","","","","","","","","","","","","100000","0.050848945398442445","","","","","","0.2389383781567216","","","","","","0","","0","","","","","",""
"radiant-frog-13276","3u17daa9","radiant-frog-13276","finished","-","ankeshanand"," baseline, nature encoder 64/32","2020-05-28T02:45:27.000Z","11196","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","freeway","1","84","","0","0","false","freeway","1","27000","84","","0","84","0","","0","0","freeway","0","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","0","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","123","","0","0","","0","","2000","1","0","standard","1","3","0.5","0","","","","","","","","1.288462833028163","1.4393976930111083","1.3644051654593097","1.0014963175390967","0.15032086366211406","31.7","32","32","31","1.0709459459459458","0.458257569495584","","2044.6","2048","2044","2041","2.1587033144922905","0","","","","","","","","","","","","","","","","","","","100000","0.1020808066428639","","","","","","0.5131826838709413","","","","","","0","","0","","","","","",""
"comic-firefly-13267","2x0p7io4","comic-firefly-13267","finished","-","ankeshanand"," baseline, nature encoder 64/32","2020-05-28T02:39:42.000Z","15470","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","amidar","1","84","","0","0","false","amidar","1","27000","84","","0","84","0","","0","0","amidar","0","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","0","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","101","","0","0","","0","","2000","1","0","standard","1","3","0.5","0","","","","","","","","3.9643868410717418","4.307981339142168","4.046922706317509","3.1506215390575094","0.2765459053992995","124.37","160","118","57","0.06918947306996558","16.08829077310576","","882.53","1184","826","678","109.72588163236604","0","","","","","","","","","","","","","","","","","","","100000","0.23730129739250988","","","","","","0.8550774232305587","","","","","","0","","0","","","","","",""
"dazzling-elevator-13254","2e8it9aa","dazzling-elevator-13254","finished","-","ankeshanand"," baseline, nature encoder 64/32","2020-05-28T02:39:10.000Z","21270","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","road_runner","1","84","","0","0","false","road_runner","1","27000","84","","0","84","0","","0","0","road_runner","0","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","0","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","123","","0","0","","0","","2000","1","0","standard","1","3","0.5","0","","","","","","","","4.412935097103087","6.671822831269554","4.49268250646797","1.5654938560382703","1.2190501769840252","6068","10200","5800","2400","0.7731537626859003","2033.2181388134427","","716.2","13331","537","305","1342.5132774017543","0","","","","","","","","","","","","","","","","","","","100000","0.4015339701667428","","","","","","1.0474392524547875","","","","","","0","","0","","","","","",""
"jumping-water-13245","2zq71ahz","jumping-water-13245","finished","-","ankeshanand"," baseline, nature encoder 64/32","2020-05-28T02:38:49.000Z","34141","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","breakout","1","84","","0","0","false","breakout","1","27000","84","","0","84","0","","0","0","breakout","0","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","0","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","123","","0","0","","0","","2000","1","0","standard","1","3","0.5","0","","","","","","","","1.8026140103731347","2.0226427238786107","1.8920042317107033","1.3107130784830392","0.20410533878489573","10.742268041237113","34","6","4","0.3139676403207331","8.524408073310362","","1570.639175257732","11210","324","263","2609.7375275282016","0","","","","","","","","","","","","","","","","","","","100000","0.313491252152808","","","","","","0.5433045333124698","","","","","","0","","0","","","","","",""
"stellar-star-13109","1p5sg45f","stellar-star-13109","finished","-","ankeshanand","nature encoder 64/32","2020-05-27T23:38:30.000Z","22658","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","battle_zone","1","84","","0","0","false","battle_zone","1","27000","84","","0","84","0","","0","0","battle_zone","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","444","","0","0","","0","","2000","1","1","standard","1","3","0.5","0","","","","","","","","0.3649178160405281","0.565397285411316","0.3700920035608022","0.22144619736805837","0.08716660008792083","16150","32000","15000","4000","0.3959514751274137","6630.79934849487","","2014.5","3918","1934","915","688.2831757351039","0","","","","","","","","","","","","","","","","","","","100000","3.817740453451872","","","","","","0.4905154283232987","","","","","","0","","0","","","","","",""
"unique-fire-13108","97rr2yyp","unique-fire-13108","finished","-","ankeshanand","nature encoder 64/32","2020-05-27T23:36:30.000Z","15904","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","gopher","1","84","","0","0","false","gopher","1","27000","84","","0","84","0","","0","0","gopher","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","444","","0","0","","0","","2000","1","1","standard","1","3","0.5","0","","","","","","","","0.5202257731188635","0.7569819306178466","0.5095757720664184","0.47607854508726166","0.03634644746328988","265.4","840","280","100","0.0036196575247111023","130.83898501593475","","925.04","1523","940","562","156.29170931306626","0","","","","","","","","","","","","","","","","","","","100000","1.0158483040854336","","","","","","0.6736700799480081","","","","","","0","","0","","","","","",""
"proud-glitter-13107","1c5t2kf2","proud-glitter-13107","finished","-","ankeshanand","nature encoder 64/32","2020-05-27T23:36:17.000Z","15048","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","asterix","1","84","","0","0","false","asterix","1","27000","84","","0","84","0","","0","0","asterix","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","420","","0","0","","0","","2000","1","1","standard","1","3","0.5","0","","","","","","","","6.316098667334833","7.837581416699667","6.796397030031804","4.186154791141002","1.10194087172925","676.5","1250","700","250","0.05625022608611772","246.3183915179701","","401.06","853","390","194","133.06463241598047","0","","","","","","","","","","","","","","","","","","","100000","1.214891527414322","","","","","","0.8281059179782867","","","","","","0","","0","","","","","",""
"wild-sponge-13106","yl4ww88w","wild-sponge-13106","finished","-","ankeshanand","nature encoder 64/32","2020-05-27T23:35:37.000Z","9619","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","1600","","","10","","0.5","100000","true","64","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","","false","0","1.25","bilinear","false","0","true","0","","1","0.25","0","4","nature","true","qbert","1","84","","0","0","false","qbert","1","27000","84","","0","84","0","","0","0","qbert","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","10","100000","1","","1","","custom","0","0","1","in","0","0.00015","valid","0","64","1","","1000000","50000000","","16","2","2000000","100","100","1000","0.01","101","","0","0","","0","","2000","1","1","standard","1","3","0.5","0","","","","","","","","4.417432866760894","4.692450369637112","4.417848875062726","4.2151210418305505","0.11501374668100454","387.5","425","375","375","0.016823287763992445","12.99038105676658","","368.02","455","374","340","23.392297877720353","0","","","","","","","","","","","","","","","","","","","100000","1.654333844549954","","","","","","0.8053579560097307","","","","","","0","","0","","","","","",""
