"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.num_img_obs","env.stack_actions","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.num_img_obs","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grayscale","hyperthread_offset","imagesize","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_nets","norm_type","num_simulations","optim.eps","padding","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","virtual_loss_c","virtual_threads","visit_temp","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreDERNormalized","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNormalized","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"likely-voice-20477","3tthv5rf","likely-voice-20477","finished","-","maxa-schwarzer","","2020-06-03T15:53:31.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","5","","0.5","100000","true","128","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","freeway","1","84","","0","0","false","freeway","1","27000","84","","0","84","0","1","0","0","freeway","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","5","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","128","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","446","","0","0","","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","","2044.11","2044.11","2048","2044","2040","2.1582168565739632","0","","","0","","","","","","","0","","","","","","","","","","","100000","2.060477153533697","","","","","","0.005440828039468033","","","","","","0","","0","","","","","",""
"ruby-totem-20476","sv7qq57n","ruby-totem-20476","finished","-","maxa-schwarzer","","2020-06-03T15:53:26.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","5","","0.5","100000","true","128","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","jamesbond","1","84","","0","0","false","jamesbond","1","27000","84","","0","84","0","1","0","0","jamesbond","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","5","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","128","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","446","","0","0","","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","0.18126210116814845","0.18126210116814845","0.3894187672676001","0.17730020356689735","0.00008864526351780843","0.10573776636359172","225","225","0.719002201027146","550","200","50","0.3578601424137301","0.7158509861212564","112.58330249197702","","1273.05","1273.05","2113","1276","668","331.52874309778935","0","","","4.5","","","","","","","4.5","","","","","","","","","","","100000","1.0092301711771636","","","","","","0.4448322288427502","","","","","","0","","0","","","","","",""
"denim-dream-20475","3g84i5am","denim-dream-20475","finished","-","maxa-schwarzer","","2020-06-03T15:53:22.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","5","","0.5","100000","true","128","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","hero","1","84","","0","0","false","hero","1","27000","84","","0","84","0","1","0","0","hero","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","5","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","128","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","445","","0","0","","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","13.240002776571776","13.240002776571776","14.03447625014963","13.18178473934342","12.53574612703925","0.3957307987439758","7416.75","7416.75","1.0960120068610637","7560","7420","3235","0.33767108809385404","0.2144254582307026","432.2310580002321","","543.5","543.5","636","547","502","36.55420632430692","0","","","92.54","","","","","","","92.54","","","","","","","","","","","100000","0.5494787502428516","","","","","","0.5952555579749867","","","","","","0","","0","","","","","",""
"daily-wildflower-20474","ev7oukxu","daily-wildflower-20474","finished","-","maxa-schwarzer","","2020-06-03T15:53:19.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","5","","0.5","100000","true","128","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","amidar","1","84","","0","0","false","amidar","1","27000","84","","0","84","0","1","0","0","amidar","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","5","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","128","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","447","","0","0","","0","0","2000","1","1","standard","1","3","0.5","","","","","","","","","0.14967243552523268","","","","","","1.97","","","","","","","","","","564.61","","","","","","","","","0.95","","","","","","","0.95","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"zesty-cloud-20473","uxe74jrk","zesty-cloud-20473","finished","-","maxa-schwarzer","","2020-06-03T15:53:16.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","5","","0.5","100000","true","128","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","frostbite","1","84","","0","0","false","frostbite","1","27000","84","","0","84","0","1","0","0","frostbite","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","5","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","128","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","448","","0","0","","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","6.691071447966317","6.691071447966317","7.284614317018163","6.787532670902439","5.906051052937971","0.41626413456168393","239.6","239.6","0.21756487025948104","260","230","220","0.6628658304827061","0.04084787445836748","15.615377036754508","","530.72","530.72","573","559.5","448","47.745383022864104","0","","","23.96","","","","","","","23.96","","","","","","","","","","","100000","0.6831561562769115","","","","","","0.8719856993503868","","","","","","0","","0","","","","","",""
"crimson-hill-20472","0wldm3e8","crimson-hill-20472","finished","-","maxa-schwarzer","","2020-06-03T15:53:12.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","5","","0.5","100000","true","128","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","amidar","1","84","","0","0","false","amidar","1","27000","84","","0","84","0","1","0","0","amidar","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","5","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","128","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","445","","0","0","","0","0","2000","1","1","standard","1","3","0.5","","","","","","","","","0.10255045675057628","","","","","","1.84","","","","","","","","","","565.37","","","","","","","","","0.86","","","","","","","0.86","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"rich-snowflake-20471","t0yqvkni","rich-snowflake-20471","finished","-","maxa-schwarzer","","2020-06-03T15:53:09.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","5","","0.5","100000","true","128","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","asterix","1","84","","0","0","false","asterix","1","27000","84","","0","84","0","1","0","0","asterix","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","5","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","128","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","446","","0","0","","0","0","2000","1","1","standard","1","3","0.5","","","","","","","","","2.719913867302377","","","","","","236","","","","","","","","","","251.4","","","","","","","","","4.68","","","","","","","4.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"robust-galaxy-20470","isrxkxtb","robust-galaxy-20470","finished","-","maxa-schwarzer","","2020-06-03T15:53:05.000Z","3","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","5","","0.5","100000","true","128","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","amidar","1","84","","0","0","false","amidar","1","27000","84","","0","84","0","1","0","0","amidar","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","5","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","128","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","445","","0","0","","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","5.683147188562669","5.683147188562669","5.949726485056437","5.701610132291907","3.731518925993605","0.2473243525764443","159.87","159.87","0.8428336980306346","190","176","45","0.20999045931579663","0.08990488416875765","26.652825366178345","","815.88","815.88","997","842","670","86.2473512636765","0","","","32.28","","","","","","","32.28","","","","","","","","","","","100000","0.9300877495892346","","","","","","0.7387107826266438","","","","","","0","","0","","","","","",""
"radiant-snow-20469","hdr0nwe7","radiant-snow-20469","finished","-","maxa-schwarzer","","2020-06-03T15:53:01.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","5","","0.5","100000","true","128","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","amidar","1","84","","0","0","false","amidar","1","27000","84","","0","84","0","1","0","0","amidar","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","5","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","128","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","448","","0","0","","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","3.3044251411468406","3.3044251411468406","3.745669109485918","3.3125365579882544","2.772752062463636","0.27072853412599623","69.93","69.93","0.35082056892779","134","75","46","0.08740629685157422","0.03742195250043765","17.441476428330258","","857.61","857.61","1197","889","439","146.19903522253492","0","","","28.53","","","","","","","28.53","","","","","","","","","","","100000","0.9322666842695324","","","","","","0.9401117128454148","","","","","","0","","0","","","","","",""
"silver-jazz-20468","dj9bklss","silver-jazz-20468","finished","-","maxa-schwarzer","","2020-06-03T15:52:58.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","5","","0.5","100000","true","128","1000000","","2000","1","","0","0","false","1","[""none""]","1","32","1","false","0","1.25","bilinear","false","0","","0","true","1","0.25","0","4","nature","true","pong","1","84","","0","0","false","pong","1","27000","84","","0","84","0","1","0","0","pong","1","0","","1","","84","0","1","256","true","0","10","false","","1","1","0","","1","","5","100000","1","50000","1","-1","custom","0","0","1","ln","0","0.00015","valid","0","128","1","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","445","","0","0","","0","0","2000","1","1","standard","1","3","0.5","0","","","","","","","","-0.07117167076958929","-0.07117167076958929","0.5952468184270409","-0.3053931560927511","-0.9583148477489364","0.45077847773802654","-11.1","-11.1","6.857142857142864","4","-13","-17","0.2424242424242425","0.2719546742209632","5.282991576748916","","2540.33","2540.33","3208","2413","2005","310.9743737030432","0","","","30.48","","","","","","","-11.1","","","","","","","","","","","100000","4.311072128937393","","","","","","0.6123831324368715","","","","","","0","","0","","","","","",""
