"Name","ID","Name","State","Notes","User","Tags","Created","Runtime","Sweep","agent.eps_eval","agent.eps_final","agent.eps_init","algo.amortization_decay_constant","algo.amortization_loss_weight","algo.batch_size","algo.clip_grad_norm","algo.discount","algo.double_dqn","algo.eps_steps","algo.learning_rate","algo.min_steps_learn","algo.model_nce_weight","algo.model_rl_weight","algo.n_step_return","algo.nce_loss_weight","algo.pri_alpha","algo.pri_beta_steps","algo.prioritized_replay","algo.replay_ratio","algo.replay_size","algo.reward_loss_weight","algo.target_update_interval","algo.target_update_tau","alternating","amortization_decay_constant","amortization_loss_weight","async_sample","aug_prob","augmentation","batch_b","batch_size","batch_t","beluga","buffered_nce","byol","byol_tau","c1","classifier","control","cosine_nce","debug","debug_cuda_idx","der","detach_model","dirichlet_alpha","distributional","dqn_hidden_size","dueling","dynamics_blocks","encoder","env.episodic_lives","env.game","env.grayscale","env.imagesize","env.max_start_noops","env.num_img_obs","env.seed","env.stack_actions","eps_steps","eval_augmentation","eval_env.episodic_lives","eval_env.game","eval_env.grayscale","eval_env.horizon","eval_env.imagesize","eval_env.max_start_noops","eval_env.num_img_obs","eval_env.seed","eval_env.stack_actions","eval_imagesize","eval_simulations","fasteval","film","final_eval_only","frame_dropout","game","global_local_nce","global_nce","gpu_per_run","grad_scale_factor","grayscale","hard_neg_factor","hyperthread_offset","imagesize","init","jumps","keep_last_frame","latent_size","learn_model","local_nce","max_grad_norm","model.dueling","model.framestack","model_nce_weight","model_rl_weight","momentum_encoder","n_cpu_core","n_gpu","n_socket","n_step","n_steps","nce","nce_loss_decay_steps","nce_loss_weight","nce_loss_weight_final","nce_type","no_rl_augmentation","no_search_control","noisy_eps","noisy_nets","norm_type","num_simulations","optim.eps","padding","prioritized_replay","q_dirichlet","replay_ratio","reward_loss_weight","run_slot","runner.log_interval_steps","runner.n_steps","sample_gpu_per_run","sampler.batch_B","sampler.batch_T","sampler.eval_max_steps","sampler.eval_max_trajectories","sampler.eval_n_envs","sampler.max_decorrelation_steps","search_epsilon","seed","set_affinity","shared_encoder","stack_actions","tag","target_augmentation","target_encoder_sn","target_update_interval","target_update_tau","time_contrastive","transition_model","use_all_targets","virtual_loss_c","virtual_threads","visit_temp","wandb_dir","AmortizationLoss","CumCompletedTrajs","CumEvalTime","CumReplayRatio","CumSteps","CumTime (s)","CumTrainTime","CumUpdates","DiscountedReturn","DiscountedReturnAverage","DiscountedReturnMax","DiscountedReturnMedian","DiscountedReturnMin","DiscountedReturnStd","GameScore","GameScoreAverage","GameScoreBest","GameScoreDERNormalized","GameScoreDERNormalizedBest","GameScoreMax","GameScoreMedian","GameScoreMin","GameScoreNatureNormalized","GameScoreNatureNormalizedBest","GameScoreNormalized","GameScoreNormalizedBest","GameScoreStd","Iteration","Length","LengthAverage","LengthMax","LengthMedian","LengthMin","LengthStd","ModelNCELoss","NCEAcc","NCELoss","NonzeroRewards","NonzeroRewardsAverage","NonzeroRewardsMax","NonzeroRewardsMedian","NonzeroRewardsMin","NonzeroRewardsStd","ReplayRatio","Return","ReturnAverage","ReturnMax","ReturnMedian","ReturnMin","ReturnStd","RewardLoss","StepsInEval","StepsPerSecond","TrajsInEval","UpdatesPerSecond","cum_steps","gradNorm","gradNormAverage","gradNormMax","gradNormMedian","gradNormMin","gradNormStd","loss","lossAverage","lossMax","lossMedian","lossMin","lossStd","modelGradNorm","modelLoss","modelRLLoss","tdAbsErr","tdAbsErrAverage","tdAbsErrMax","tdAbsErrMedian","tdAbsErrMin","tdAbsErrStd"
"silvery-cosmos-35709","yuudwew5","silvery-cosmos-35709","finished","-","maxa-schwarzer","","2020-06-25T16:19:41.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","0.01","1.25","q_l1","false","1","","0","true","0","0.25","0","256","1","0","nature","true","pong","1","84","","","120","0","50000","0","false","pong","1","27000","84","","","120","0","84","0","1","0","1","0","pong","0","1","","0.5","1","0","","84","pytorch","5","1","256","true","0","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","0","1","bn","0","0.00015","valid","1","0","64","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","120","","0","0","byol_ql1_b0","1","0","1","1","0","standard","0","1","3","0.5","","0","","","","","","","","-0.4948261829077451","-0.4948261829077451","0.2454271709007345","-0.7018970008076044","-0.8947356400130917","0.4143332003750014","-6.37","-6.37","-6.37","10.235714285714296","10.235714285714296","7","-1","-21","0.3618686868686869","0.3618686868686869","0.4059490084985835","0.4059490084985835","9.756695137186568","","20459.04","20459.04","27001","27001","3889","8863.336208132918","0.09296968688848428","","","14.94","","","","","","","-9.62","","","","","","","","","","","100000","0.1073072774458211","","","","","","0.005019215793006151","","","","","","0.04488334625072311","","0","","","","","",""
"happy-pyramid-35733","utijqlv6","happy-pyramid-35733","finished","-","maxa-schwarzer","","2020-06-25T16:22:27.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","0.01","1.25","q_l1","false","1","","0","true","0","0.25","0","256","1","0","nature","true","breakout","1","84","","","101","0","50000","0","false","breakout","1","27000","84","","","101","0","84","0","1","0","1","0","breakout","0","1","","0.5","1","0","","84","pytorch","5","1","256","true","0","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","0","1","bn","0","0.00015","valid","1","0","64","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","byol_ql1_b0","1","0","1","1","0","standard","0","1","3","0.5","","0","","","","","","","","1.8239032743484245","1.8239032743484245","2.156180745756111","1.865835959372138","1.2685719991996904","0.2134409369059557","19.34","19.34","19.34","88.20000000000002","88.20000000000002","235","13","3","0.04415519399249061","0.04415519399249061","0.6125","0.6125","22.8329673936613","","11657.19","11657.19","27001","9713.5","1098","8073.289863116523","0.0859901151110651","","","12.86","","","","","","","12.86","","","","","","","","","","","100000","0.14698200393668376","","","","","","0.006517132985153512","","","","","","0.045353077592467886","","0","","","","","",""
"tough-shadow-35729","14rosv1s","tough-shadow-35729","finished","-","maxa-schwarzer","","2020-06-25T16:21:53.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","0.01","1.25","q_l1","false","1","","0","true","0","0.25","0","256","1","0","nature","true","breakout","1","84","","","420","0","50000","0","false","breakout","1","27000","84","","","420","0","84","0","1","0","1","0","breakout","0","1","","0.5","1","0","","84","pytorch","5","1","256","true","0","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","0","1","bn","0","0.00015","valid","1","0","64","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","byol_ql1_b0","1","0","1","1","0","standard","0","1","3","0.5","","0","","","","","","","","1.9209787997224448","1.9209787997224448","2.807626643502379","2.2606691150337377","1.2632089126095103","0.4659664354287251","59.26","59.26","59.26","287.8","287.8","230","23.5","2","0.14408010012515643","0.14408010012515643","1.998611111111111","1.998611111111111","83.10494810779922","","9906.06","9906.06","27001","7424","673","9327.636612583065","0.0812099068841664","","","19.27","","","","","","","19.27","","","","","","","","","","","100000","0.2851473200823646","","","","","","0.0126406273094115","","","","","","0.04431870048607234","","0","","","","","",""
"fresh-hill-35727","ixu3sccn","fresh-hill-35727","finished","-","maxa-schwarzer","","2020-06-25T16:21:35.000Z","4","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","0.01","1.25","q_l1","false","1","","0","true","0","0.25","0","256","1","0","nature","true","breakout","1","84","","","88","0","50000","0","false","breakout","1","27000","84","","","88","0","84","0","1","0","1","0","breakout","0","1","","0.5","1","0","","84","pytorch","5","1","256","true","0","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","0","1","bn","0","0.00015","valid","1","0","64","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","88","","0","0","byol_ql1_b0","1","0","1","1","0","standard","0","1","3","0.5","","0","","","","","","","","1.5392563630644347","1.5392563630644347","2.5118680110554723","1.262078858615686","0.7249803359578534","0.6463497968631924","16.38","16.38","16.38","73.40000000000002","73.40000000000002","25","16","6","0.0367459324155194","0.0367459324155194","0.5097222222222222","0.5097222222222222","4.82240603848328","","9862.31","9862.31","27001","7707.5","931","7310.096633690968","0.09655606968030334","","","15","","","","","","","15","","","","","","","","","","","100000","0.2123961591740605","","","","","","0.010384708479656548","","","","","","0.05401317981639877","","0","","","","","",""
"devout-monkey-35901","2bkbrczr","devout-monkey-35901","finished","-","maxa-schwarzer","","2020-06-26T01:37:03.000Z","13","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","0.01","1.25","q_l1","false","1","","0","true","0","0.25","0","256","1","0","nature","true","crazy_climber","1","84","","","420","0","50000","0","false","crazy_climber","1","27000","84","","","420","0","84","0","1","0","1","0","crazy_climber","0","1","","0.5","1","0","","84","pytorch","5","1","256","true","0","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","0","1","bn","0","0.00015","valid","1","0","64","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","420","","0","0","byol_ql1_b0","1","0","1","1","0","standard","0","1","3","0.5","","0","","","","","","","","5.979938938106172","5.979938938106172","6.605536045140733","6.109751258094649","3.055959577944142","0.5420076956099062","17695","17695","17695","1.2793257844878627","1.2793257844878627","27700","17600","5700","0.06692153209610685","0.06692153209610685","0.27604006563162453","0.27604006563162453","5925.578030875975","","5986.83","5986.83","18942","4793","2209","3499.935433847316","0.0688624248120701","","","160.5","","","","","","","160.5","","","","","","","","","","","100000","1.461078818760626","","","","","","0.11283291996866464","","","","","","0.02690086693887133","","0","","","","","",""
"swift-leaf-35942","glg0eo3q","swift-leaf-35942","finished","-","maxa-schwarzer","","2020-06-26T02:04:50.000Z","85","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","0.01","1.25","q_l1","false","1","","0","true","0","0.25","0","256","1","0","nature","true","chopper_command","1","84","","","120","0","50000","0","false","chopper_command","1","27000","84","","","120","0","84","0","1","0","1","0","chopper_command","0","1","","0.5","1","0","","84","pytorch","5","1","256","true","0","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","0","1","bn","0","0.00015","valid","1","0","64","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","120","","0","0","byol_ql1_b0","1","0","1","1","0","standard","0","1","3","0.5","","0","","","","","","","","0.8123018998065947","0.8123018998065947","1.1408589050176206","0.7632194520253053","0.6689717585696803","0.12215507192502204","285","285","826","-10.354330708661427","0.29527559055118136","400","300","100","-0.08951667801225323","0.0025527569775357388","-0.07997810485342416","0.0022807444349835786","104.28326807307106","","5396.07","5396.07","27001","292","215","10464.159596694804","0.0696517644667998","","","2.06","","","","","","","2.06","","","","","","","","","","","100000","0.018512572093168273","","","","","","0.00019790650118981147","","","","","","0.009384572096139892","","0","","","","","",""
"dauntless-microwave-35900","1orovsoy","dauntless-microwave-35900","finished","-","maxa-schwarzer","","2020-06-26T01:36:39.000Z","21","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","0.01","1.25","q_l1","false","1","","0","true","0","0.25","0","256","1","0","nature","true","crazy_climber","1","84","","","444","0","50000","0","false","crazy_climber","1","27000","84","","","444","0","84","0","1","0","1","0","crazy_climber","0","1","","0.5","1","0","","84","pytorch","5","1","256","true","0","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","0","1","bn","0","0.00015","valid","1","0","64","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","byol_ql1_b0","1","0","1","1","0","standard","0","1","3","0.5","","0","","","","","","","","2.4377702728853134","2.4377702728853134","5.047657917222966","2.2933825343344756","0.47837208801565934","1.4253776983955688","20594","20594","20594","1.815700858496152","1.815700858496152","27500","23700","8600","0.09497931234726222","0.09497931234726222","0.391773690661067","0.391773690661067","5908.7193197849565","","5375.22","5375.22","27001","4584","1668","3436.9610779873547","0.06057535087507567","","","178.74","","","","","","","178.74","","","","","","","","","","","100000","1.537589762520045","","","","","","0.1258931300999713","","","","","","0.025280876255407928","","0","","","","","",""
"earthy-lion-35910","4xu0on6p","earthy-lion-35910","finished","-","maxa-schwarzer","","2020-06-26T01:44:33.000Z","149","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","0.01","1.25","q_l1","false","1","","0","true","0","0.25","0","256","1","0","nature","true","crazy_climber","1","84","","","101","0","50000","0","false","crazy_climber","1","27000","84","","","101","0","84","0","1","0","1","0","crazy_climber","0","1","","0.5","1","0","","84","pytorch","5","1","256","true","0","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","0","1","bn","0","0.00015","valid","1","0","64","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","101","","0","0","byol_ql1_b0","1","0","1","1","0","standard","0","1","3","0.5","","0","","","","","","","","6.268067618799261","6.268067618799261","6.913075858736689","6.392806489697789","4.64573224132087","0.47508470339506514","24400","24400","24400","2.519889727649497","2.519889727649497","28300","26200","12100","0.13181543226305983","0.13181543226305983","0.5437164905444949","0.5437164905444949","3999.749992187012","","5113.32","5113.32","24029","4046","1769","3500.2045022541183","0.06335244395781774","","","202.81","","","","","","","202.81","","","","","","","","","","","100000","1.391004785238579","","","","","","0.11207381951651768","","","","","","0.025734122807183304","","0","","","","","",""
"fanciful-totem-35741","cpuge87f","fanciful-totem-35741","finished","-","maxa-schwarzer","","2020-06-25T16:23:57.000Z","2","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","0.01","1.25","q_l1","false","1","","0","true","0","0.25","0","256","1","0","nature","true","breakout","1","84","","","444","0","50000","0","false","breakout","1","27000","84","","","444","0","84","0","1","0","1","0","breakout","0","1","","0.5","1","0","","84","pytorch","5","1","256","true","0","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","0","1","bn","0","0.00015","valid","1","0","64","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","444","","0","0","byol_ql1_b0","1","0","1","1","0","standard","0","1","3","0.5","","0","","","","","","","","2.005654484330047","2.005654484330047","2.215432249124224","2.0690237030423377","1.6183697273145836","0.2406045237062928","19.03","19.03","19.03","86.65000000000003","86.65000000000003","22","19","6","0.04337922403003755","0.04337922403003755","0.6017361111111111","0.6017361111111111","2.282345285008384","","4315.56","4315.56","27001","1333.5","310","5949.906472071641","0.07531529564911034","","","14.98","","","","","","","14.98","","","","","","","","","","","100000","0.19469666690248996","","","","","","0.0092892340564169","","","","","","0.03900170565737644","","0","","","","","",""
"effortless-sun-35974","xaxqty7z","effortless-sun-35974","finished","-","maxa-schwarzer","","2020-06-26T02:42:08.000Z","30","","0.001","0","0","","","32","10","0.99","true","50000","0.0001","2000","","","10","","0.5","100000","true","64","1000000","","1","1","","0","0","false","1","[""shift"",""intensity""]","1","32","1","false","0","1","0.01","1.25","q_l1","false","1","","0","true","0","0.25","0","256","1","0","nature","true","crazy_climber","1","84","","","120","0","50000","0","false","crazy_climber","1","27000","84","","","120","0","84","0","1","0","1","0","crazy_climber","0","1","","0.5","1","0","","84","pytorch","5","1","256","true","0","10","true","","1","0","1","","1","","10","100000","1","50000","0","-1","custom","0","0","0","1","bn","0","0.00015","valid","1","0","64","0","","1000000","50000000","","1","1","2800000","100","100","1000","0.01","120","","0","0","byol_ql1_b0","1","0","1","1","0","standard","0","1","3","0.5","","0","","","","","","","","5.773462064583392","5.773462064583392","7.083783322539991","6.584549370440709","0.08185082429834306","1.8648969167582192","23034","23034","23034","2.2671514209591477","2.2671514209591477","28200","24650","11100","0.11859469137893489","0.11859469137893489","0.4891831577434538","0.4891831577434538","4238.990917659532","","4195.59","4195.59","10693","3730","2172","1547.7259582690988","0.06432549457456917","","","195.31","","","","","","","195.31","","","","","","","","","","","100000","1.5045975300645456","","","","","","0.11909081603372468","","","","","","0.02682867982161697","","0","","","","","",""
